['CAN/Parsley', 1711653973.6536088, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.2503893333333334, 'sensor_id': 'T502', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653973.6546137, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.2506026666666668, 'sensor_id': 'T504', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653973.6769164, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.2565973333333333, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653973.6769164, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.2566613333333334, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653974.4807663, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653974.6595562, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'ISENSE_24V', 'value': 0.001}}]
['CAN/Parsley', 1711653974.661556, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'VSENSE_24V', 'value': 3.571}}]
['CAN/Parsley', 1711653974.661556, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'ISENSE_12VD', 'value': 0.0}}]
['CAN/Parsley', 1711653974.6625557, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'VSENSE_12VD', 'value': 3.8000000000000003}}]
['CAN/Parsley', 1711653974.6625557, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'VSENSE_12VA', 'value': 3.779}}]
['CAN/Parsley', 1711653974.6625557, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'ISENSE_5VD', 'value': 0.608}}]
['CAN/Parsley', 1711653974.6635556, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'VSENSE_5VD', 'value': 3.863}}]
['CAN/Parsley', 1711653974.6635556, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'VSENSE_5VA', 'value': 3.848}}]
['CAN/Parsley', 1711653974.666556, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'ISENSE_3V3', 'value': 0.004}}]
['CAN/Parsley', 1711653974.666556, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'VSENSE_3V3', 'value': 3.351}}]
['CAN/Parsley', 1711653974.6670604, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'RAW_ISENSE_12V', 'value': 0.079}}]
['CAN/Parsley', 1711653974.6670604, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 1.5000106666666668, 'sensor_id': 'RAW_ISENSE_24V', 'value': 0.018000000000000002}}]
['CAN/Parsley', 1711653974.6670604, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.5005653333333335, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653974.6682239, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.5005866666666667, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653974.6682239, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.5010133333333335, 'sensor_id': 'T506', 'temperature': 0.0}}]
['CAN/Parsley', 1711653974.6690652, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.5013973333333335, 'sensor_id': 'T508', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653974.6690652, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.5015893333333334, 'sensor_id': 'T509', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653975.1506424, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.6254080000000002, 'sensor_id': 'T502', 'temperature': 2047.75}}]
['Parsley/Health', 1711653975.4854054, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653975.655141, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.7502080000000002, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653975.655141, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 1.7505920000000001, 'sensor_id': 'T504', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653975.7394056, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.7720533333333335, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653975.7394056, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 1.7720746666666667, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653976.4882555, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653976.6548119, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'ISENSE_24V', 'value': 0.001}}]
['CAN/Parsley', 1711653976.6557636, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'VSENSE_24V', 'value': 3.571}}]
['CAN/Parsley', 1711653976.6557636, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'ISENSE_12VD', 'value': 0.001}}]
['CAN/Parsley', 1711653976.658763, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'VSENSE_12VD', 'value': 3.8000000000000003}}]
['CAN/Parsley', 1711653976.658763, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'ISENSE_12VA', 'value': 0.002}}]
['CAN/Parsley', 1711653976.658763, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'ISENSE_5VD', 'value': 0.608}}]
['CAN/Parsley', 1711653976.658763, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'VSENSE_5VD', 'value': 3.863}}]
['CAN/Parsley', 1711653976.658763, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'ISENSE_5VA', 'value': 0.026000000000000002}}]
['CAN/Parsley', 1711653976.658763, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'ISENSE_3V3', 'value': 0.004}}]
['CAN/Parsley', 1711653976.6597626, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'VSENSE_3V3', 'value': 3.351}}]
['CAN/Parsley', 1711653976.6597626, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'RAW_ISENSE_5V', 'value': 0.097}}]
['CAN/Parsley', 1711653976.6597626, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 2.0000213333333337, 'sensor_id': 'RAW_ISENSE_24V', 'value': 0.021}}]
['CAN/Parsley', 1711653976.6597626, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.0007680000000003, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653976.6597626, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.00096, 'sensor_id': 'T506', 'temperature': 0.0}}]
['CAN/Parsley', 1711653976.6597626, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.0011733333333335, 'sensor_id': 'T507', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653976.6607652, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.0015573333333334, 'sensor_id': 'T509', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653976.7368772, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.0198400000000003, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653976.7378776, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.0198613333333335, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653977.4899473, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653977.649529, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.2501973333333334, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653977.651551, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.2503893333333336, 'sensor_id': 'T502', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653977.651551, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.250602666666667, 'sensor_id': 'T504', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653977.7268178, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.268288, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653977.7268178, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.268330666666667, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653978.4900818, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653978.6469576, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.500202666666667, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653978.647963, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.5003946666666668, 'sensor_id': 'T502', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653978.647963, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.500586666666667, 'sensor_id': 'T503', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653978.648963, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.5008000000000004, 'sensor_id': 'T504', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653978.6596987, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.500992, 'sensor_id': 'T506', 'temperature': 0.0}}]
['CAN/Parsley', 1711653978.6606567, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.5011840000000003, 'sensor_id': 'T507', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653978.6606567, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.5013973333333337, 'sensor_id': 'T508', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653978.6606567, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.5015893333333334, 'sensor_id': 'T509', 'temperature': 2047.75}}]
['CAN/Parsley', 1711653978.7247758, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.518314666666667, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653978.7272778, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.518336, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653979.4966624, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653979.6540263, {'board_id': 'ANY', 'msg_type': 'SENSOR_TEMP', 'data': {'time': 2.750186666666667, 'sensor_id': 'T501', 'temperature': 24.75}}]
['CAN/Parsley', 1711653979.7372472, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.7687893333333333, 'sensor_id': 'RPM501_S', 'rpm_counts': 0}}]
['CAN/Parsley', 1711653979.7382467, {'board_id': 'ANY', 'msg_type': 'SENSOR_RPM', 'data': {'time': 2.768810666666667, 'sensor_id': 'RPM502_S', 'rpm_counts': 0}}]
['Parsley/Health', 1711653980.5045295, {'id': 'YoshiTheCat/usb/com19', 'healthy': 'Healthy'}]
['CAN/Parsley', 1711653980.652128, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'ISENSE_24V', 'value': 0.001}}]
['CAN/Parsley', 1711653980.6531343, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'VSENSE_24V', 'value': 3.571}}]
['CAN/Parsley', 1711653980.6531343, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'ISENSE_12VD', 'value': 0.0}}]
['CAN/Parsley', 1711653980.6531343, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'VSENSE_12VD', 'value': 3.8000000000000003}}]
['CAN/Parsley', 1711653980.654133, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'VSENSE_12VA', 'value': 3.779}}]
['CAN/Parsley', 1711653980.654133, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'ISENSE_5VD', 'value': 0.608}}]
['CAN/Parsley', 1711653980.654133, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'VSENSE_5VD', 'value': 3.864}}]
['CAN/Parsley', 1711653980.654133, {'board_id': 'ANY', 'msg_type': 'SENSOR_ANALOG', 'data': {'time': 3.0000213333333337, 'sensor_id': 'VSENSE_5VA', 'value': 3.848}}]
